name,State,party,gender,house
Dr. Bhagwat Kishanrao Karad,Maharashtra,BJP,M,Rajya Sabha
Shri Ramvilas Paswan,Bihar,LJP ,M,Rajya Sabha
Shri Piyush Goyal,Maharashtra,BJP,M,Rajya Sabha
Shri Sarbananda Sonowal,Assam,BJP,M,Rajya Sabha
Shri V. Muraleedharan,Kerala,BJP,M,Rajya Sabha
Shri Jyotiraditya M. Scindia,Madhya_Pradesh,BJP ,M,Rajya Sabha
Shri Rajeev Chandrasekhar,Karnataka,BJP,M,Rajya Sabha
Shri Ramchandra Prasad Singh,Bihar,JD(U) ,M,Rajya Sabha
Shri Parshottam Rupala,Gujarat,BJP,M,Rajya Sabha
Dr. L. Murugan,Madhya_Pradesh,BJP,M,Rajya Sabha
Shri Ashwini Vaishnaw,Odisha,BJP,M,Rajya Sabha
Shri B. L. Verma,Uttar_Pradesh,BJP,M,Rajya Sabha
Shri Mansukh Mandaviya,Gujarat,BJP,M,Rajya Sabha
Shri Hardeep Singh Puri,Uttar_Pradesh,BJP,M,Rajya Sabha
Smt. Nirmala Sitharaman,Karnataka,BJP,F,Rajya Sabha
Shri Bhupender Yadav,Rajasthan,BJP,M,Rajya Sabha
Shri Ramdas Athawale,Maharashtra,RPI(A),M,Rajya Sabha
Dr. Subrahmanyam Jaishankar,Gujarat,BJP,M,Rajya Sabha
Shri Thaawar Chand Gehlot,Madhya_Pradesh,BJP,M,Rajya Sabha
Shri Narayan Tatu Rane,Maharasthra,BJP,M,Rajya Sabha
Shri Mukhtar Abbas Naqvi,Jharkhand,BJP,M,Rajya Sabha
Shri Dharmendra Pradhan,Madhya_Pradesh,BJP,M,Rajya Sabha
Shri Prakash Javadekar,Maharasthra,BJP,M,Rajya Sabha
