Ls_num,Name,Portfolio,Rank,Year,appointment_begin,Constituency_No,State_name,Poll_No,gender,party,ID
17,Shri Narendra Modi,"Prime Minister; and Personnel, Public Grievances and Pensions; Department of Atomic Energy; Department of Space; and All important policy issues; and All other portfolios not allocated to any Minister",PM,2019,30-05-2019,77,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_77_0_1
17,Shri Narendra Modi,"Prime Minister; and Personnel, Public Grievances and Pensions; Department of Atomic Energy; Department of Space; and All important policy issues; and All other portfolios not allocated to any Minister.",PM,2019,14-06-2019,77,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_77_0_1
17,Shri Narendra Modi,"Prime Minister; and Personnel, Public Grievances and Pensions; Department of Atomic Energy; Department of Space; All important policy issues; and All other portfolios not allocated to any Minister",PM,2019,07-07-2021,77,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_77_0_1
17,Shri Raj Nath Singh,Defence,CM,2019,30-05-2019,35,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_35_0_1
17,Shri Amit Shah,Home Affairs,CM,2019,30-05-2019,6,Gujarat,0,M,BJP,17_Gujarat_6_0_1
17,Shri Amit Shah,Home Affairs; and Cooperation,CM,2019,07-07-2021,6,Gujarat,0,M,BJP,17_Gujarat_6_0_1
17,Shri Nitin Jairam Gadkari,"Road Transport and Highways; and Micro, Small and Medium Enterprises",CM,2019,30-05-2019,10,Maharashtra,0,M,BJP,17_Maharashtra_10_0_1
17,Shri Nitin Jairam Gadkari,"Road Transport and Highways; and Micro, Small and Medium Enterprises",CM,2019,14-06-2019,10,Maharashtra,0,M,BJP,17_Maharashtra_10_0_1
17,Shri Nitin Jairam Gadkari,Road Transport and Highways,CM,2019,07-07-2021,10,Maharashtra,0,M,BJP,17_Maharashtra_10_0_1
17,Shri D.V. Sadananda Gowda,Chemicals and Fertilizers,CM,2019,30-05-2019,24,Karnataka,0,M,BJP,17_Karnataka_24_0_1
17,Smt. Nirmala Sitharaman,Finance; and Corporate Affairs,CM,2019,30-05-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Ramvilas Paswan,"Consumer Affairs, Food and Public Distribution",CM,2019,30-05-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Narendra Singh Tomar,Agriculture and Farmers Welfare; Rural Development; and Panchayati Raj,CM,2019,30-05-2019,1,Madhya_Pradesh,0,M,BJP,17_Madhya_Pradesh_1_0_1
17,Shri Narendra Singh Tomar,Agriculture and Farmers Welfare; Rural Development; and Panchayati Raj,CM,2019,14-06-2019,1,Madhya_Pradesh,0,M,BJP,17_Madhya_Pradesh_1_0_1
17,Shri Narendra Singh Tomar,Agriculture and Farmers Welfare; Rural Development; Panchayati Raj; and Food Processing Industries,CM,2019,18-09-2020,1,Madhya_Pradesh,0,M,BJP,17_Madhya_Pradesh_1_0_1
17,Shri Narendra Singh Tomar,Agriculture and Farmers Welfare,CM,2019,07-07-2021,1,Madhya_Pradesh,0,M,BJP,17_Madhya_Pradesh_1_0_1
17,Shri Ravi Shankar Prasad,Law and Justice; Communications; and Electronics and Information Technology,CM,2019,30-05-2019,30,Bihar,0,M,BJP,17_Bihar_30_0_1
17,Shri Ravi Shankar Prasad,Law and Justice; Communications; and Electronics and Information Technology,CM,2019,14-06-2019,30,Bihar,0,M,BJP,17_Bihar_30_0_1
17,Smt. Harsimrat Kaur Badal,Food Processing Industries,CM,2019,30-05-2019,11,Punjab,0,F,SAD,17_Punjab_11_0_1
17,Shri Thaawar Chand Gehlot,Social Justice and Empowerment,CM,2019,30-05-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Dr. Subrahmanyam Jaishankar,External Affairs,CM,2019,30-05-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Dr. Subrahmanyam Jaishankar,External Affair,CM,2019,09-11-2020,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Dr. Subrahmanyam Jaishankar,External Affairs,CM,2019,07-07-2021,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Ramesh Pokhriyal Nishank,Human Resource Development,CM,2019,30-05-2019,5,Uttarakhand,0,M,BJP,17_Uttarakhand_5_0_1
17,Shri Ramesh Pokhriyal Nishank,Education,CM,2019,14-08-2020,5,Uttarakhand,0,M,BJP,17_Uttarakhand_5_0_1
17,Shri Arjun Munda,Tribal Affairs,CM,2019,30-05-2019,11,Jharkhand,0,M,BJP,17_Jharkhand_11_0_1
17,Smt. Smriti Zubin Irani,Women and Child Development; and Textiles,CM,2019,30-05-2019,37,Uttar_Pradesh,0,F,BJP,17_Uttar_Pradesh_37_0_1
17,Smt. Smriti Zubin Irani,Women and Child Development; and Textiles,CM,2019,14-06-2019,37,Uttar_Pradesh,0,F,BJP,17_Uttar_Pradesh_37_0_1
17,Smt. Smriti Zubin Irani,Women and Child Development,CM,2019,07-07-2021,37,Uttar_Pradesh,0,F,BJP,17_Uttar_Pradesh_37_0_1
17,Dr. Harsh Vardhan,Health and Family Welfare; Science and Technology; and Earth Sciences,CM,2019,30-05-2019,1,Delhi,0,M,BJP,17_Delhi_1_0_1
17,Dr. Harsh Vardhan,Health and Family Welfare; Science and Technology; and Earth Sciences,CM,2019,14-06-2019,1,Delhi,0,M,BJP,17_Delhi_1_0_1
17,Shri Prakash Javadekar,"Environment, Forest and Climate Change; and Information and Broadcasting",CM,2019,30-05-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Prakash Javadekar,"Environment, Forest and Climate Change; and Information and Broadcasting",CM,2019,14-06-2019,NA,NA,NA,NA,NA,17_NA_NA_NA_1
