year,ls_number,name,party,gender,portfolio,rank,appointment_begin,appointment_end,house,constituency,pid,State,start_source,end_source,comments,type_begin,type_end
2014,16,SHRIPAD YESSO NAIK,BJP,M,AAYUSH,MoS(IC),09/11/14,30/05/19,Lok Sabha,NORTH GOA,16_Goa_1_0_1,Goa,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_10.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,mid_term,end_of_term
2014,16,DR. SANJEEV KUMAR BALYAN,BJP,M,Agriculture,MoS,27/05/14,05/07/16,Lok Sabha,MUZAFFARNAGAR,16_Uttar_Pradesh_3_0_1,Uttar_Pradesh,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1782.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_6.pdf,,start_of_term,mid_term
2014,16,MOHANBHAI KALYANJIBHAI KUNDARIYA,BJP,M,Agriculture,MoS,09/11/14,05/07/16,Lok Sabha,RAJKOT,16_Gujarat_10_0_1,Gujarat,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_10.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_7.pdf,,mid_term,mid_term
2014,16,RADHA MOHAN SINGH,BJP,M,Agriculture and Farmers Welfare,CM,27/05/14,30/05/19,Lok Sabha,PURVI CHAMPARAN,16_Bihar_3_0_1,Bihar,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1782.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,start_of_term,end_of_term
2014,16,GAJENDRA SINGH SHEKHAWAT,BJP,M,Agriculture and Farmers Welfare,MoS,03/09/17,30/05/19,Lok Sabha,JODHPUR,16_Rajasthan_16_0_1,Rajasthan,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1269.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,mid_term,end_of_term
1991,10,A. K. ANTONY,INC,M,Civil Supplies and Public Distribution,CM,18/01/93,08/02/95,Rajya Sabha,NA,NA ,Kerala,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1552.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1577.pdf,,mid_term,mid_term
1999,13,A. K. MOORTHY,PMK,M,Railways,MoS,01/07/02,15/01/04,Lok Sabha,CHENGALPATTU,13_Tamil_Nadu_5_0_1,Tamil_Nadu,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1704.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1464.pdf,,mid_term,mid_term
2004,14,A. NARENDRA,TRS,M,Rural Development,MoS,22/05/04,24/08/06,Lok Sabha,MEDAK,14_Andhra_Pradesh_33_0_1,Andhra_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1472.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1481.pdf,,start_of_term,mid_term
1991,10,A. R. ANTULAY,INC,M,Health and Family Welfare,CM,11/06/95,16/05/96,Rajya Sabha,NA,NA ,Maharashtra,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1584.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1607.pdf,,mid_term,end_of_term
1991,10,A. R. ANTULAY,INC,M,Water Resources,CM,07/02/96,16/05/96,Rajya Sabha,NA,NA ,Maharashtra,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1598.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1607.pdf,,mid_term,end_of_term
1999,13,A. RAJA,DMK,M,Rural Development,MoS,13/10/99,30/09/00,Lok Sabha,PERAMBALUR,13_Tamil_Nadu_28_0_1,Tamil_Nadu,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1751.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1673.pdf,,start_of_term,mid_term
1999,13,A. RAJA,DMK,M,Health and Family Welfare,MoS,30/09/00,21/12/03,Lok Sabha,PERAMBALUR,13_Tamil_Nadu_28_0_1,Tamil_Nadu,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1673.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1725.pdf,,mid_term,mid_term
2004,14,A. RAJA,DMK,M,Environment and Forests,CM,22/05/04,15/05/07,Lok Sabha,PERAMBALUR,14_Tamil_Nadu_28_0_1,Tamil_Nadu,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1472.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1491.pdf,,start_of_term,mid_term
2004,14,A. RAJA,DMK,M,Communications and Information Technology,CM,15/05/07,22/05/09,Lok Sabha,PERAMBALUR,14_Tamil_Nadu_28_0_1,Tamil_Nadu,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1491.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,mid_term,end_of_term
2009,15,A. RAJA,DMK,M,Communications and Information Technology,CM,28/05/09,15/11/10,Lok Sabha,NILGIRIS,15_Tamil_Nadu_19_0_1,Tamil_Nadu,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_935.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_925.pdf,,start_of_term,mid_term
2009,15,A. SAI PRATHAP,INC,M,Steel,MoS,28/05/09,19/01/11,Lok Sabha,RAJAMPET,15_Andhra_Pradesh_24_0_1,Andhra_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_935.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_924.pdf,,mid_term,mid_term
2009,15,A. SAI PRATHAP,INC,M,Heavy Industries and Public Enterprises,MoS,19/01/11,12/07/11,Lok Sabha,RAJAMPET,15_Andhra_Pradesh_24_0_1,Andhra_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_924.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_917.pdf,,mid_term,mid_term
2009,15,A. K. ANTONY,INC,M,Defence,CM,23/05/09,26/05/14,Rajya Sabha,NA,NA ,Kerala,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_940.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1444.pdf,,start_of_term,end_of_term
2004,14,A. K. ANTONY,INC,M,Defence,CM,24/10/06,22/05/09,Rajya Sabha,NA,NA ,Kerala,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1482.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,mid_term,end_of_term
1998,12,A.K. PATEL,BJP,M,Chemicals and Fertilizers,MoS,19/03/98,13/10/99,Lok Sabha,MEHSANA,12_Gujarat_12_0_1,Gujarat,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1639.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1750.pdf,,start_of_term,end_of_term
1998,12,A.K. PATEL,BJP,M,Health and Family Welfare,MoS(IC),17/08/99,13/10/99,Lok Sabha,MEHSANA,12_Gujarat_12_0_1,Gujarat,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1658.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1750.pdf,,mid_term,end_of_term
2004,14,A. R. ANTULAY,INC,M,Minority Affairs,CM,29/01/06,22/05/09,Lok Sabha,KOLABA,14_Maharashtra_3_0_1,Maharashtra,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1477.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,mid_term,end_of_term
1991,10,ABRAR AHMED,INC,M,Parliamentary Affairs,MoS,18/01/93,02/04/94,Rajya Sabha,NA,NA ,Rajasthan,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1552.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1531.pdf,,mid_term,mid_term
1991,10,ABRAR AHMED,INC,M,Finance,MoS,18/01/93,02/04/94,Rajya Sabha,NA,NA ,Rajasthan,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1552.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1531.pdf,,mid_term,mid_term
2009,15,ABU HASEM KHAN CHOUDHURY,INC,M,Health and Family Welfare,MoS,28/10/12,26/05/14,Lok Sabha,MALDAHA DAKSHIN,15_West_Bengal_8_0_1,West_Bengal,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_874.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1444.pdf,,mid_term,end_of_term
2009,15,ADHIR RANJAN CHOWDHURY,INC,M,Railways,MoS,28/10/12,26/05/14,Lok Sabha,BAHARAMPUR,15_West_Bengal_10_0_1,West_Bengal,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_874.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1444.pdf,,mid_term,end_of_term
2009,15,AGATHA SANGMA,NCP,F,Rural Development,MoS,28/05/09,27/10/12,Lok Sabha,TURA,15_Meghalaya_2_0_1,Meghalaya,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_935.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_878.pdf,,mid_term,mid_term
2004,14,AJAY MAKEN,INC,M,Urban Development,MoS,29/01/06,22/05/09,Lok Sabha,NEW DELHI,14_Delhi_1_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1477.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,mid_term,end_of_term
2009,15,AJAY MAKEN,INC,M,Home Affairs,MoS,28/05/09,19/01/11,Lok Sabha,NEW DELHI,14_Delhi_1_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_935.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_924.pdf,,mid_term,mid_term
2009,15,AJAY MAKEN,INC,M,Youth Affairs and Sports,MoS(IC),19/01/11,28/10/12,Lok Sabha,NEW DELHI,14_Delhi_1_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_924.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_874.pdf,,mid_term,mid_term
2009,15,AJAY MAKEN,INC,M,Housing and Urban Poverty Alleviation,CM,28/10/12,15/06/13,Lok Sabha,NEW DELHI,14_Delhi_1_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_874.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1153.pdf,,mid_term,mid_term
2014,16,KRISHNA RAJ,BJP,F,Agriculture and Farmers Welfare,MoS,03/09/17,30/05/19,Lok Sabha,SHAHJAHANPUR,16_Uttar_Pradesh_27_0_1,Uttar_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1269.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,mid_term,end_of_term
1991,10,AJIT KUMAR PANJA,INC,M,Information and Broadcasting,MoS(IC),21/06/91,18/01/93,Lok Sabha,CALCUTTA NORTH EAST,10_West_Bengal_22_0_1,West_Bengal,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1541.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1552.pdf,,start_of_term,mid_term
1991,10,AJIT KUMAR PANJA,INC,M,Coal,MoS(IC),18/01/93,13/09/95,Lok Sabha,CALCUTTA NORTH EAST,10_West_Bengal_22_0_1,West_Bengal,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1552.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1589.pdf,,mid_term,mid_term
1999,13,AJIT KUMAR PANJA,AITC,M,External Affairs,MoS,13/10/99,16/03/01,Lok Sabha,CALCUTTA NORTH EAST,13_West_Bengal_22_0_1,West_Bengal,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1751.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1681.pdf,,start_of_term,mid_term
1991,10,AJIT SINGH,JD,M,Food,CM,10/02/95,16/05/96,Lok Sabha,BAGHPAT,10_Uttar_Pradesh_81_0_1,Uttar_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1579.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1607.pdf,,mid_term,end_of_term
1999,13,AJIT SINGH,RLD,M,Agriculture,CM,22/07/01,24/05/03,Lok Sabha,BAGHPAT,13_Uttar_Pradesh_81_0_1,Uttar_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1685.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1716.pdf,,mid_term,mid_term
2009,15,AJIT SINGH,RLD,M,Civil Aviation,CM,18/12/11,26/05/14,Lok Sabha,BAGHPAT,15_Uttar_Pradesh_11_0_1,Uttar_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_901.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1444.pdf,,mid_term,end_of_term
2004,14,AKHILESH DAS,INC,M,Steel,MoS,29/01/06,06/04/08,Rajya Sabha,NA,NA ,Uttar_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1477.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1486.pdf,,mid_term,mid_term
2004,14,AKHILESH PRASAD SINGH,RJD,M,"Consumer Affairs, Food and Public Distribution",MoS,22/05/04,22/05/09,Lok Sabha,MOTIHARI,14_Bihar_3_0_1,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1472.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,start_of_term,end_of_term
2004,14,AKHILESH PRASAD SINGH,RJD,M,Agriculture,MoS,22/05/04,22/05/09,Lok Sabha,MOTIHARI,14_Bihar_3_0_1,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1472.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,start_of_term,end_of_term
2014,16,PARSHOTTAM RUPALA ,BJP,M,Agriculture and Farmers Welfare,MoS,05/07/16,30/05/19,Rajya Sabha,NA,NA ,Gujarat,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_6.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,mid_term,end_of_term
2014,16,S.S. AHLUWALIA,BJP,M,Agriculture and Farmers Welfare,MoS,05/07/16,03/09/17,Lok Sabha,DARJEELING,16_West_Bengal_4_0_1,West_Bengal,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_6.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1269.pdf,,mid_term,mid_term
2004,14,AMBIKA SONI,INC,F,Culture,CM,29/01/06,15/05/07,Rajya Sabha,NA,NA ,Punjab,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1477.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1491.pdf,,mid_term,mid_term
2004,14,AMBIKA SONI,INC,F,Tourism,CM,29/01/06,22/05/09,Rajya Sabha,NA,NA ,Punjab,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1477.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,mid_term,end_of_term
2009,15,AMBIKA SONI,INC,F,Information and Broadcasting,CM,28/05/09,27/10/12,Rajya Sabha,NA,NA ,Punjab,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_935.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_878.pdf,,start_of_term,mid_term
2004,14,ANAND SHARMA,INC,M,External Affairs,MoS,29/01/06,22/05/09,Rajya Sabha,NA,NA ,Himachal_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1477.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,mid_term,end_of_term
2004,14,ANAND SHARMA,INC,M,Information and Broadcasting,MoS,18/10/08,22/05/09,Rajya Sabha,NA,NA ,Himachal_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1489.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,mid_term,end_of_term
2009,15,ANAND SHARMA,INC,M,Commerce and Industry,CM,28/05/09,26/05/14,Rajya Sabha,NA,NA ,Himachal_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_935.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1444.pdf,,start_of_term,end_of_term
2009,15,ANAND SHARMA,INC,M,Textiles,CM,12/07/11,17/06/13,Rajya Sabha,NA,NA ,Himachal_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_917.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_867.pdf,,mid_term,mid_term
