year,ls_number,name,party,gender,portfolio,rank,appointment_begin,appointment_end,house,constituency,pid,state,start_source,end_source,comments,type_begin,type_end
2014,16,SHRIPAD YESSO NAIK,BJP,M,AAYUSH,MoS(IC),2014-11-09,2019-05-30,Lok Sabha,NORTH GOA,16_Goa_1_0_1,Goa,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_10.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,mid_term,end_of_term
2014,16,DR. SANJEEV KUMAR BALYAN,BJP,M,Agriculture,MoS,2014-05-27,2016-07-05,Lok Sabha,MUZAFFARNAGAR,16_Uttar_Pradesh_3_0_1,Uttar_Pradesh,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1782.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_6.pdf,,start_of_term,mid_term
2014,16,MOHANBHAI KALYANJIBHAI KUNDARIYA,BJP,M,Agriculture,MoS,2014-11-09,2016-07-05,Lok Sabha,RAJKOT,16_Gujarat_10_0_1,Gujarat,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_10.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_7.pdf,,mid_term,mid_term
2014,16,RADHA MOHAN SINGH,BJP,M,Agriculture and Farmers Welfare,CM,2014-05-27,2019-05-30,Lok Sabha,PURVI CHAMPARAN,16_Bihar_3_0_1,Bihar,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1782.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,start_of_term,end_of_term
2014,16,GAJENDRA SINGH SHEKHAWAT,BJP,M,Agriculture and Farmers Welfare,MoS,2017-09-03,2019-05-30,Lok Sabha,JODHPUR,16_Rajasthan_16_0_1,Rajasthan,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1269.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,mid_term,end_of_term
1991,10,A. K. ANTONY,INC,M,Civil Supplies and Public Distribution,CM,1993-01-18,1995-02-08,Rajya Sabha,,NA ,Kerala,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1552.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1577.pdf,,mid_term,mid_term
1999,13,A. K. MOORTHY,PMK,M,Railways,MoS,2002-07-01,2004-01-15,Lok Sabha,CHENGALPATTU,13_Tamil_Nadu_5_0_1,Tamil_Nadu,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1704.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1464.pdf,,mid_term,mid_term
2004,14,A. NARENDRA,TRS,M,Rural Development,MoS,2004-05-22,2006-08-24,Lok Sabha,MEDAK,14_Andhra_Pradesh_33_0_1,Andhra_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1472.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1481.pdf,,start_of_term,mid_term
1991,10,A. R. ANTULAY,INC,M,Health and Family Welfare,CM,1995-06-11,1996-05-16,Rajya Sabha,,NA ,Maharashtra,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1584.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1607.pdf,,mid_term,end_of_term
1991,10,A. R. ANTULAY,INC,M,Water Resources,CM,1996-02-07,1996-05-16,Rajya Sabha,,NA ,Maharashtra,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1598.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1607.pdf,,mid_term,end_of_term
1999,13,A. RAJA,DMK,M,Rural Development,MoS,1999-10-13,2000-09-30,Lok Sabha,PERAMBALUR,13_Tamil_Nadu_28_0_1,Tamil_Nadu,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1751.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1673.pdf,,start_of_term,mid_term
1999,13,A. RAJA,DMK,M,Health and Family Welfare,MoS,2000-09-30,2003-12-21,Lok Sabha,PERAMBALUR,13_Tamil_Nadu_28_0_1,Tamil_Nadu,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1673.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1725.pdf,,mid_term,mid_term
2004,14,A. RAJA,DMK,M,Environment and Forests,CM,2004-05-22,2007-05-15,Lok Sabha,PERAMBALUR,14_Tamil_Nadu_28_0_1,Tamil_Nadu,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1472.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1491.pdf,,start_of_term,mid_term
2004,14,A. RAJA,DMK,M,Communications and Information Technology,CM,2007-05-15,2009-05-22,Lok Sabha,PERAMBALUR,14_Tamil_Nadu_28_0_1,Tamil_Nadu,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1491.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,mid_term,end_of_term
2009,15,A. RAJA,DMK,M,Communications and Information Technology,CM,2009-05-28,2010-11-15,Lok Sabha,NILGIRIS,15_Tamil_Nadu_19_0_1,Tamil_Nadu,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_935.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_925.pdf,,start_of_term,mid_term
2009,15,A. SAI PRATHAP,INC,M,Steel,MoS,2009-05-28,2011-01-19,Lok Sabha,RAJAMPET,15_Andhra_Pradesh_24_0_1,Andhra_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_935.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_924.pdf,,mid_term,mid_term
2009,15,A. SAI PRATHAP,INC,M,Heavy Industries and Public Enterprises,MoS,2011-01-19,2011-07-12,Lok Sabha,RAJAMPET,15_Andhra_Pradesh_24_0_1,Andhra_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_924.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_917.pdf,,mid_term,mid_term
2009,15,A. K. ANTONY,INC,M,Defence,CM,2009-05-23,2014-05-26,Rajya Sabha,,NA ,Kerala,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_940.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1444.pdf,,start_of_term,end_of_term
2004,14,A. K. ANTONY,INC,M,Defence,CM,2006-10-24,2009-05-22,Rajya Sabha,,NA ,Kerala,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1482.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,mid_term,end_of_term
1998,12,A.K. PATEL,BJP,M,Chemicals and Fertilizers,MoS,1998-03-19,1999-10-13,Lok Sabha,MEHSANA,12_Gujarat_12_0_1,Gujarat,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1639.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1750.pdf,,start_of_term,end_of_term
1998,12,A.K. PATEL,BJP,M,Health and Family Welfare,MoS(IC),1999-08-17,1999-10-13,Lok Sabha,MEHSANA,12_Gujarat_12_0_1,Gujarat,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1658.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1750.pdf,,mid_term,end_of_term
2004,14,A. R. ANTULAY,INC,M,Minority Affairs,CM,2006-01-29,2009-05-22,Lok Sabha,KOLABA,14_Maharashtra_3_0_1,Maharashtra,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1477.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,mid_term,end_of_term
1991,10,ABRAR AHMED,INC,M,Parliamentary Affairs,MoS,1993-01-18,1994-04-02,Rajya Sabha,,NA ,Rajasthan,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1552.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1531.pdf,,mid_term,mid_term
1991,10,ABRAR AHMED,INC,M,Finance,MoS,1993-01-18,1994-04-02,Rajya Sabha,,NA ,Rajasthan,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1552.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1531.pdf,,mid_term,mid_term
2009,15,ABU HASEM KHAN CHOUDHURY,INC,M,Health and Family Welfare,MoS,2012-10-28,2014-05-26,Lok Sabha,MALDAHA DAKSHIN,15_West_Bengal_8_0_1,West_Bengal,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_874.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1444.pdf,,mid_term,end_of_term
2009,15,ADHIR RANJAN CHOWDHURY,INC,M,Railways,MoS,2012-10-28,2014-05-26,Lok Sabha,BAHARAMPUR,15_West_Bengal_10_0_1,West_Bengal,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_874.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1444.pdf,,mid_term,end_of_term
2009,15,AGATHA SANGMA,NCP,F,Rural Development,MoS,2009-05-28,2012-10-27,Lok Sabha,TURA,15_Meghalaya_2_0_1,Meghalaya,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_935.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_878.pdf,,mid_term,mid_term
2004,14,AJAY MAKEN,INC,M,Urban Development,MoS,2006-01-29,2009-05-22,Lok Sabha,NEW DELHI,14_Delhi_1_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1477.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,mid_term,end_of_term
2009,15,AJAY MAKEN,INC,M,Home Affairs,MoS,2009-05-28,2011-01-19,Lok Sabha,NEW DELHI,14_Delhi_1_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_935.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_924.pdf,,mid_term,mid_term
2009,15,AJAY MAKEN,INC,M,Youth Affairs and Sports,MoS(IC),2011-01-19,2012-10-28,Lok Sabha,NEW DELHI,14_Delhi_1_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_924.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_874.pdf,,mid_term,mid_term
2009,15,AJAY MAKEN,INC,M,Housing and Urban Poverty Alleviation,CM,2012-10-28,2013-06-15,Lok Sabha,NEW DELHI,14_Delhi_1_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_874.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1153.pdf,,mid_term,mid_term
2014,16,KRISHNA RAJ,BJP,F,Agriculture and Farmers Welfare,MoS,2017-09-03,2019-05-30,Lok Sabha,SHAHJAHANPUR,16_Uttar_Pradesh_27_0_1,Uttar_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1269.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,mid_term,end_of_term
1991,10,AJIT KUMAR PANJA,INC,M,Information and Broadcasting,MoS(IC),1991-06-21,1993-01-18,Lok Sabha,CALCUTTA NORTH EAST,10_West_Bengal_22_0_1,West_Bengal,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1541.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1552.pdf,,start_of_term,mid_term
1991,10,AJIT KUMAR PANJA,INC,M,Coal,MoS(IC),1993-01-18,1995-09-13,Lok Sabha,CALCUTTA NORTH EAST,10_West_Bengal_22_0_1,West_Bengal,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1552.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1589.pdf,,mid_term,mid_term
1999,13,AJIT KUMAR PANJA,AITC,M,External Affairs,MoS,1999-10-13,2001-03-16,Lok Sabha,CALCUTTA NORTH EAST,13_West_Bengal_22_0_1,West_Bengal,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1751.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1681.pdf,,start_of_term,mid_term
1991,10,AJIT SINGH,JD,M,Food,CM,1995-02-10,1996-05-16,Lok Sabha,BAGHPAT,10_Uttar_Pradesh_81_0_1,Uttar_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1579.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1607.pdf,,mid_term,end_of_term
1999,13,AJIT SINGH,RLD,M,Agriculture,CM,2001-07-22,2003-05-24,Lok Sabha,BAGHPAT,13_Uttar_Pradesh_81_0_1,Uttar_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1685.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1716.pdf,,mid_term,mid_term
2009,15,AJIT SINGH,RLD,M,Civil Aviation,CM,2011-12-18,2014-05-26,Lok Sabha,BAGHPAT,15_Uttar_Pradesh_11_0_1,Uttar_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_901.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1444.pdf,,mid_term,end_of_term
2004,14,AKHILESH DAS,INC,M,Steel,MoS,2006-01-29,2008-04-06,Rajya Sabha,,NA ,Uttar_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1477.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1486.pdf,,mid_term,mid_term
2004,14,AKHILESH PRASAD SINGH,RJD,M,"Consumer Affairs, Food and Public Distribution",MoS,2004-05-22,2009-05-22,Lok Sabha,MOTIHARI,14_Bihar_3_0_1,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1472.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,start_of_term,end_of_term
2004,14,AKHILESH PRASAD SINGH,RJD,M,Agriculture,MoS,2004-05-22,2009-05-22,Lok Sabha,MOTIHARI,14_Bihar_3_0_1,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1472.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,start_of_term,end_of_term
